Customer ID,System ID,System Name,Design Type,Status,Install Date,Customer System Number,Customer System Total,Duplicate Customer IDs: 4,,Customer ID,Year,Population,Source,"MISSING IDS: 213,215",Total population ,,Loc ID,District,Coordinates,latitude,longitude,,Customer ID,Customer Name,Customer Type,Loc ID
104,68,Ngando HC III #1,Lighting Only,Installed,11/13/2021,1,1,,,104,2026,"21,950.00",Inferred,,,,104,Butambala,"0.07585647329221862, 31.925437936171036",0.07585647329,31.92543794,,104,Ngando HC III,Health Centre,104
105,69,Kyabadaza HC III #1,Lighting Only,Installed,11/13/2021,1,1,,,105,2026,"15,104.00",Inferred,,,,105,,"0.1209112570014584, 32.18190175541943",0.120911257,32.18190176,,105,Kyabadaza HC III,Health Centre,105
150,93,Mpenja SS #1,Lighting Only,Installed,7/9/2025,1,1,,,150,2026,0.00,Inferred,,,,150,Gomba,"0.22446801701869717, 32.052420229275",0.224468017,32.05242023,,150,Mpenja SS,School,150
153,94,Kyayi Seed SS #1,Lighting Only,Installed,7/16/2025,1,1,,,153,2026,450.00,Inferred,,,,153,Gomba,"0.21451, 31.39893",0.21451,31.39893,,153,Kyayi Seed SS,School,153
162,90,Bukandula Mixed SS #1,Lighting Only,Installed,6/25/2025,1,1,,,162,2026,815.00,Inferred,,,,162,Gomba,"0.16821046769081874, 31.83270331495879",0.1682104677,31.83270331,,162,Bukandula Mixed SS,School,162
186,83,Kasaka SSS #1,Lighting Only,Installed,2/19/2025,1,1,,,186,2026,"1,128.00",Inferred,,,,186,Gomba,"0.18439681566284538, 31.901187131128054",0.1843968157,31.90118713,,186,Kasaka SSS,School,186
187,95,St. Leonard's SS #1,Lighting/USB Charging,Installed,10/20/2025,1,1,,,187,2026,738.00,Inferred,,,,187,Gomba,"0.209640781035405, 31.67042415679149",0.209640781,31.67042416,,187,St. Leonard's SS,School,187
189,96,Kisozi Seed SS #1,Lighting/USB Charging,Installed,10/27/2025,1,1,,,189,2026,"1,014.00",Inferred,,,,189,Gomba,"0.07147331414145795, 31.598613791264945",0.07147331414,31.59861379,,189,Kisozi Seed SS,School,189
200,82,Mustard Seed Academy PS/N #1,Lighting Only,Installed,8/5/2024,1,3,,,200,2026,634.00,Inferred,,,,200,Kalungu,"-0.16061744615813445, 31.880425277524857",-0.1606174462,31.88042528,,200,Mustard Seed Academy PS/SS/N,School,200
200,86,Mustard Seed Academy SS #2,Lighting Only,Installed,5/16/2025,2,3,,,204,2026,772.00,Inferred,,,,204,Gomba,"0.16366181335579397, 31.910778997005387",0.1636618134,31.910779,,204,Gomba Parents PS,School,204
200,101,Mustard Seed Academy PS Dormitory #3,Lighting/USB Charging,Installed,1/2/2026,3,3,,,210,2026,577.00,Inferred,,,,210,Gomba,"0.17428544942086127, 31.91015049417841",0.1742854494,31.91015049,,210,Aidah And Topher PS,School,210
204,88,Gomba Parents PS #1,Lighting Only,Installed,6/12/2025,1,1,,,211,2026,0.00,Inferred,,,,211,Gomba,"0.1747284454969942, 31.906933266458957",0.1747284455,31.90693327,,211,Kanoni Modern C/S PS/N,School,211
210,89,Aidah And Topher PS #1,Lighting Only,Installed,6/18/2025,1,1,,,214,2026,362.00,Inferred,,,,213,Wakiso,"0.18904801655234693, 32.41820991406409",0.1890480166,32.41820991,,213,All We Are,N/A,213
211,87,Kanoni Modern C/S P/N #1,Lighting Only,Installed,6/5/2025,1,1,,,216,2026,176.00,Inferred,,,,214,Gomba,"0.21489234232271084, 32.04185780572558",0.2148923423,32.04185781,,214,St. Joseph's VS/SS,School,
213,84,All We Are #1,Lighting Only,Installed,3/14/2025,1,2,,,217,2026,501.00,Inferred,,,,215,,"0.5761430855883503, 31.71955437174706",0.5761430856,31.71955437,,215,St. Maria Goretti PS,School,
213,85,All We Are #2,Lighting Only,Installed,3/14/2025,2,2,,,,,,,,,,216,Gomba,"0.22297357807829282, 31.673943329130143",0.2229735781,31.67394333,,216,Hillside PS,School,
214,91,St. Joseph's VS/SS #1,Lighting Only,Installed,7/2/2025,1,1,,,,,,,,,,217,Kalungu,"-0.1478538465772722, 31.87759147236952",-0.1478538466,31.87759147,,217,Vision Park Junior PS,School,217
215,97,St. Maria Goretti PS #1,Lighting Only,Installed,11/8/2025,1,2,,,,,,,,,,,,,,,,,,,
215,98,St. Maria Goretti PS #2,Loads,Installed,11/8/2025,2,2,,,,,,,,,,,,,,,,,,,
216,99,Hillside PS #1,Lighting Only,Installed,11/4/2025,1,1,,,,,,,,,,,,,,,,,,,
217,100,Vision Park Junior PS #1,Lighting/USB Charging,Installed,1/2/2026,1,1,,,,,,,,,,,,,,,,,,,
